x	y	color	is_highlight
25499.671875	16041.3173828125	5	false
25383.529296875	16167.953125	5	false
25488.185546875	16062.0244140625	5	false
25425.060546875	16182.3759765625	5	false
25483.515625	16122.4384765625	5	false
25622.486328125	16113.79296875	5	false
25636.109375	16151.3828125	5	false
25654.51953125	16097.5244140625	5	false
25797.005859375	15985.052734375	5	false
26024.509765625	15757.6904296875	5	false
25376.701171875	15953.283203125	5	false
25448.943359375	15757.1435546875	5	false
25471.802734375	15924.0234375	5	false
25707.099609375	15889.8583984375	5	false
25187.830078125	16108.9140625	5	false
25192.068359375	16140.841796875	5	false
25305.048828125	16164.3125	5	false
25245.3125	16241.35546875	5	false
25220.279296875	16231.2265625	5	false
25294.0859375	16137.4365234375	5	false
25213.765625	16084.580078125	5	false
25339.7578125	16169.0302734375	5	false
24607.662109375	16256.1416015625	5	false
24867.14453125	16032.4521484375	5	false
24794.8828125	16195.2421875	5	false
24918.095703125	16137.671875	5	false
24811.119140625	16101.837890625	5	false
25205.912109375	15852.4033203125	5	false
25171.654296875	15921.9970703125	5	false
25184.90625	15818.236328125	5	false
25241.46484375	15783.126953125	5	false
25321.12890625	15931.90234375	5	false
24813.443359375	15994.6103515625	5	false
24618.68359375	15749.4306640625	5	false
24880.724609375	15780.1943359375	5	false
24707.736328125	15773.0146484375	5	false
24660.9140625	15876.365234375	5	false
24389.869140625	16646.283203125	5	false
24441.5859375	16601.095703125	5	false
24566.2265625	16580.861328125	5	false
24509.54296875	16665.521484375	5	false
23800.9140625	16698.099609375	5	false
23786.763671875	16656.640625	5	false
23849.009765625	16711.625	5	false
23878.900390625	16735.458984375	5	false
23922.5625	16620.103515625	5	false
24169.158203125	16812.921875	5	false
24082.017578125	16717.208984375	5	false
23857.7421875	16639.884765625	5	false
24204.25	16295.8837890625	5	false
24230.203125	16409.90234375	5	false
24193.34375	16472.0234375	5	false
24195.021484375	16387.8515625	5	false
24516.607421875	16451.935546875	5	false
24295.013671875	16498.447265625	5	false
23968.3203125	16333.392578125	5	false
23976.09375	16299.6416015625	5	false
23993.755859375	16385.841796875	5	false
24093.837890625	16513.958984375	5	false
23655.52734375	16780.080078125	5	false
23593.166015625	16563.30859375	5	false
23437.27734375	16798.099609375	5	false
22824.599609375	16782.056640625	5	false
22826.3203125	16748.86328125	5	false
22925.427734375	16659.880859375	5	false
23193.96875	16623.15234375	5	false
22875.07421875	16760.369140625	5	false
23220.357421875	16408.216796875	5	false
23309.513671875	16481.73828125	5	false
23593.0390625	16324.17578125	5	false
22835.212890625	16544.884765625	5	false
22789.556640625	16300.2783203125	5	false
23022.4921875	16467.171875	5	false
22937.322265625	16291.431640625	5	false
24226.521484375	16266.3583984375	5	false
24522.09375	16135.1279296875	5	false
24550.025390625	16066.7158203125	5	false
24586.38671875	16082.6689453125	5	false
24056.912109375	16043.8837890625	5	false
24112.970703125	16022.16796875	5	false
24384.01171875	15772.42578125	5	false
24356.234375	15791.6357421875	5	false
24375.388671875	15808.3828125	5	false
24424.7578125	15759.8154296875	5	false
24523.8203125	15916.9892578125	5	false
24590.009765625	15940.265625	5	false
23857.25	15979.0888671875	5	false
23961.1953125	15838.3408203125	5	false
23786.599609375	16214.1298828125	5	false
22932.96875	16245.505859375	5	false
22800.513671875	16139.91015625	5	false
22875.09375	16089.376953125	5	false
22844.501953125	16091.4833984375	5	false
23446.978515625	15886.99609375	5	false
23590.15625	15881.6943359375	5	false
23680.931640625	15865.888671875	5	false
23615.57421875	15801.1982421875	5	false
23699.029296875	15759.0244140625	5	false
22824.94921875	15967.9794921875	5	false
22796.349609375	15985.7861328125	5	false
22835.52734375	15812.625	5	false
22817.255859375	15789.0341796875	5	false
22806.029296875	15758.8271484375	5	false
22849.2109375	15847.607421875	5	false
22875.380859375	15811.158203125	5	false
26577.451171875	15612.46875	5	false
26584.7890625	15674.99609375	5	false
26586.7109375	15638.9716796875	5	false
26415.24609375	15705.4921875	5	false
26455.0390625	15567.3876953125	5	false
26498.955078125	15571.2314453125	5	false
26484.923828125	15548.9140625	5	false
26075.890625	15464.3056640625	5	false
26208.2578125	15583.57421875	5	false
26188.9765625	15637.8662109375	5	false
26334.517578125	15498.0810546875	5	false
25912.052734375	15537.234375	5	false
25836.9921875	15574.6884765625	5	false
25961.642578125	15543.6640625	5	false
26053.666015625	15604.158203125	5	false
26040.208984375	15632.962890625	5	false
26011.576171875	15543.4990234375	5	false
26064.802734375	15484.0458984375	5	false
25625.421875	15732.6279296875	5	false
25566.97265625	15616.6259765625	5	false
25419.47265625	15692.95703125	5	false
25370.068359375	15616.154296875	5	false
25444.87890625	15505.705078125	5	false
25582.8984375	15558.23828125	5	false
25142	15490.49609375	5	false
25170.248046875	15497.6435546875	5	false
25164.3984375	15733.251953125	5	false
25187.333984375	15725.0185546875	5	false
25197.119140625	15512.8447265625	5	false
25249.962890625	15519.3828125	5	false
25257.462890625	15490.939453125	5	false
25287.697265625	15558.9482421875	5	false
25331.755859375	15733.4091796875	5	false
25314.9453125	15618.908203125	5	false
25306.8515625	15652.4208984375	5	false
25350.21484375	15642.015625	5	false
24950.15234375	15514.751953125	5	false
24988.486328125	15741.0859375	5	false
25027.685546875	15555.6884765625	5	false
25016.912109375	15681.1220703125	5	false
24636.48828125	15617.7197265625	5	false
24667.984375	15625.8525390625	5	false
24734.236328125	15555.515625	5	false
24744.220703125	15497.29296875	5	false
24857.470703125	15713.9306640625	5	false
24780.4609375	15712.5205078125	5	false
24768.58203125	15671.7900390625	5	false
24808.087890625	15655.552734375	5	false
24316.421875	15615.9169921875	5	false
24410.6015625	15540.333984375	5	false
24353.060546875	15500.8125	5	false
24483.3828125	15536.7861328125	5	false
24103.8359375	15681.869140625	5	false
24117.427734375	15549.6025390625	5	false
24124.419921875	15704.4189453125	5	false
24204.326171875	15617.806640625	5	false
24194.1015625	15594.2099609375	5	false
